protein_id,buffer,sugar,surfactant,amino_acid,salt,ph,temperature_c,protein_conc_mgmL,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,salt_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score,composite_stability_score,stable
O15520,histidine,sucrose,polysorbate 20,proline,sodium chloride,5.5,25,1,31.4514,128.0365,0.0228,96.2628,137.4486,0.194,0.3286,0.2088,0.7702,0,0.7695,0.7665,1
O15520,histidine,sorbitol,poloxamer 188,arginine,sodium chloride,7.4,50,1,48.7599,285.2734,0.0439,66.6311,98.5641,0.4144,0.4581,0.4678,0.5901,1,0.5506,0.5641,0
O15520,citric acid,sorbitol,polysorbate 80,glycine,potassium chloride,5.0,40,10,47.0607,257.0259,0.03,154.4887,39.2202,0.2547,0.3896,0.2769,0.7209,2,0.6933,0.7045,1
O15520,acetic acid,trehalose,polysorbate 80,proline,sodium chloride,5.0,50,100,31.6878,249.5951,0.014,108.4178,100.285,0.5266,0.4373,0.3932,0.557,2,0.5342,0.532,0
O15520,citric acid,sucrose,poloxamer 188,arginine,sodium chloride,5.0,50,1,37.0085,147.0408,0.0148,139.0287,74.6215,0.3619,0.4719,0.3309,0.6441,1,0.611,0.618,0
O15520,histidine,sucrose,polysorbate 20,none,none,7.0,37,10,18.1704,243.2384,0.0267,0.0,0.0,0.1861,0.369,0.3586,0.7764,1,0.7072,0.7296,1
O15520,acetic acid,trehalose,poloxamer 188,proline,potassium chloride,6.0,4,1,28.3314,299.6909,0.0498,57.3261,18.5262,0.0596,0.2631,0.2008,0.873,1,0.8528,0.8551,1
O15520,phosphoric acid,trehalose,polysorbate 20,arginine,sodium chloride,6.0,37,1,27.5274,208.6436,0.0312,148.3853,130.71,0.1421,0.3557,0.3487,0.7428,2,0.7464,0.751,1
O15520,histidine,mannitol,poloxamer 188,arginine,sodium chloride,6.0,4,1,39.6967,131.0896,0.0213,71.063,84.288,0.2528,0.2487,0.1398,0.7927,0,0.7699,0.7757,1
O15520,phosphoric acid,sorbitol,polysorbate 20,arginine,sodium chloride,7.4,40,10,11.7635,166.7113,0.0192,147.9798,66.1582,0.2664,0.3862,0.477,0.684,1,0.623,0.6545,0
O15520,acetic acid,sorbitol,poloxamer 188,arginine,sodium chloride,5.0,25,100,11.4411,173.8432,0.0321,92.9787,54.1829,0.3623,0.3032,0.269,0.7153,1,0.6591,0.6785,0
O15520,phosphoric acid,sucrose,polysorbate 20,glycine,none,5.5,4,10,41.2046,276.8269,0.0384,143.0992,0.0,0.0883,0.2832,0.1942,0.8419,2,0.8274,0.8346,1
O15520,citric acid,trehalose,polysorbate 80,glycine,potassium chloride,5.0,25,100,46.9795,256.4773,0.0388,150.4861,39.4023,0.2764,0.2964,0.184,0.766,2,0.7477,0.7429,1
O15520,citric acid,mannitol,polysorbate 80,arginine,potassium chloride,5.0,40,1,17.9829,283.6904,0.0345,132.0536,44.8529,0.2016,0.3904,0.2627,0.7492,2,0.7287,0.7344,1
O15520,citric acid,sucrose,poloxamer 188,glycine,potassium chloride,6.0,37,1,48.6756,155.825,0.0357,109.9518,49.246,0.1928,0.3974,0.2648,0.729,1,0.7362,0.7342,1
O15520,phosphoric acid,sucrose,polysorbate 80,proline,sodium chloride,7.0,37,1,14.3361,186.9128,0.061,81.3677,110.6209,0.1336,0.3812,0.4451,0.7282,0,0.7229,0.7278,1
O15520,histidine,sorbitol,poloxamer 188,glycine,potassium chloride,5.0,40,1,30.7968,261.3022,0.0375,191.0395,39.4815,0.2791,0.3975,0.3014,0.6996,2,0.6646,0.6838,1
O15520,citric acid,mannitol,polysorbate 20,arginine,none,6.0,50,10,36.5355,124.9251,0.073,100.7123,0.0,0.3082,0.4313,0.3272,0.6808,1,0.6535,0.6569,0
O15520,acetic acid,mannitol,polysorbate 20,proline,none,5.5,25,10,36.5972,175.8291,0.0624,67.4027,0.0,0.1715,0.3151,0.2956,0.7704,0,0.7994,0.7653,1
O15520,phosphoric acid,sorbitol,poloxamer 188,arginine,potassium chloride,6.0,25,10,41.4304,221.3323,0.0229,94.1786,37.0251,0.1814,0.302,0.2578,0.7889,1,0.7565,0.7698,1
O15520,acetic acid,trehalose,poloxamer 188,arginine,potassium chloride,7.0,50,10,13.7355,290.3999,0.0194,81.0419,42.2625,0.3715,0.4507,0.4972,0.5966,1,0.5427,0.5778,0
O15520,citric acid,sucrose,polysorbate 80,glycine,potassium chloride,7.0,4,10,26.5776,225.9531,0.0236,154.4531,29.7751,0.1397,0.2764,0.2515,0.7894,2,0.7908,0.796,1
O15520,citric acid,trehalose,poloxamer 188,arginine,sodium chloride,6.5,25,1,42.1644,239.1824,0.0286,105.7406,141.747,0.1101,0.3016,0.2461,0.8149,2,0.7732,0.805,1
O15520,histidine,sorbitol,polysorbate 80,methionine,none,7.0,50,100,22.6919,251.05,0.041,8.3351,0.0,0.6237,0.312,0.4446,0.5714,2,0.4965,0.5102,0
O15520,acetic acid,sorbitol,polysorbate 80,methionine,potassium chloride,6.0,25,100,21.0925,255.535,0.0439,3.1532,27.5949,0.3288,0.1826,0.2815,0.7585,2,0.7986,0.7325,1
O15520,phosphoric acid,trehalose,polysorbate 20,proline,potassium chloride,7.0,4,1,16.0332,176.6071,0.0207,71.3953,26.5947,0.2046,0.2806,0.3326,0.7731,0,0.7316,0.7479,1
O15520,phosphoric acid,sorbitol,polysorbate 20,arginine,sodium chloride,6.5,40,100,47.8425,103.9064,0.0716,107.569,97.698,0.4316,0.3736,0.3794,0.6235,2,0.602,0.5999,0
O15520,phosphoric acid,mannitol,polysorbate 20,methionine,none,7.4,50,100,45.9125,197.6459,0.0291,5.3708,0.0,0.7375,0.2756,0.5586,0.4717,1,0.4455,0.4361,0
O15520,acetic acid,mannitol,poloxamer 188,methionine,none,5.5,40,1,49.2289,206.8247,0.0463,6.327,0.0,0.324,0.2461,0.3268,0.714,1,0.7116,0.7,1
O15520,histidine,sucrose,poloxamer 188,methionine,sodium chloride,6.5,25,1,20.4063,165.4705,0.0282,4.0375,137.964,0.2012,0.1782,0.2445,0.8034,0,0.8328,0.7993,1
O15520,phosphoric acid,sorbitol,polysorbate 20,arginine,potassium chloride,5.0,50,1,49.9963,169.9921,0.0555,128.1233,36.0702,0.3358,0.4132,0.4011,0.6449,1,0.6379,0.631,0
O15520,histidine,trehalose,polysorbate 80,arginine,none,5.5,25,1,28.9424,122.8779,0.0763,96.5034,0.0,0.0,0.3132,0.2114,0.8767,0,0.8242,0.8642,1
O15520,phosphoric acid,mannitol,polysorbate 80,none,none,7.4,4,1,48.5888,121.6197,0.0118,0.0,0.0,0.2811,0.2564,0.3585,0.7598,0,0.7129,0.7148,1
O15520,phosphoric acid,sorbitol,polysorbate 20,glycine,sodium chloride,7.0,25,1,37.8877,160.3165,0.0579,170.8292,129.6227,0.1643,0.3287,0.4057,0.7667,1,0.6922,0.7363,1
O15520,histidine,mannitol,poloxamer 188,methionine,none,6.0,4,100,35.9017,102.5304,0.0268,5.4118,0.0,0.4004,0.1426,0.1377,0.7682,1,0.7644,0.737,1
O15520,acetic acid,mannitol,poloxamer 188,methionine,none,5.5,40,1,39.3518,293.0947,0.0208,8.2738,0.0,0.3074,0.2443,0.2943,0.7234,1,0.7112,0.714,1
O15520,acetic acid,sorbitol,polysorbate 20,none,potassium chloride,6.0,25,1,21.1571,190.1604,0.0625,0.0,32.794,0.1449,0.3394,0.2524,0.7803,0,0.7682,0.777,1
O15520,acetic acid,mannitol,polysorbate 80,methionine,potassium chloride,5.5,40,1,24.193,151.6705,0.0296,6.3654,45.2043,0.3789,0.2236,0.3604,0.7019,0,0.6566,0.6711,0
O15520,histidine,trehalose,polysorbate 80,glycine,none,6.5,40,100,40.3266,238.1219,0.0552,123.6232,0.0,0.3767,0.3882,0.3039,0.6656,2,0.6325,0.6397,0
O15520,histidine,sucrose,polysorbate 20,glycine,potassium chloride,7.4,25,10,36.5584,173.8041,0.0487,101.5636,49.8653,0.1834,0.3248,0.3776,0.7314,1,0.7587,0.7357,1
O15520,phosphoric acid,mannitol,poloxamer 188,methionine,potassium chloride,6.0,37,1,14.8262,138.5169,0.0148,5.8228,40.4876,0.2689,0.2271,0.3365,0.7559,0,0.7146,0.7298,1
O15520,citric acid,trehalose,polysorbate 80,methionine,potassium chloride,7.4,50,100,33.8716,296.1021,0.0683,3.6662,24.4352,0.4779,0.2962,0.4695,0.6293,2,0.5871,0.5816,0
O15520,phosphoric acid,sucrose,poloxamer 188,none,sodium chloride,6.0,4,1,32.1344,239.4835,0.0151,0.0,136.8461,0.175,0.2771,0.2229,0.811,1,0.7918,0.7896,1
O15520,acetic acid,sucrose,polysorbate 80,none,potassium chloride,6.5,40,10,23.6282,293.0995,0.0277,0.0,44.4689,0.2414,0.3768,0.3941,0.7159,1,0.675,0.6895,1
O15520,histidine,sucrose,polysorbate 20,methionine,sodium chloride,7.0,4,1,15.9679,212.5679,0.0313,9.9453,61.8452,0.1888,0.1427,0.2394,0.8382,1,0.8082,0.8152,1
O15520,acetic acid,trehalose,poloxamer 188,methionine,potassium chloride,6.5,37,100,49.6013,161.076,0.0348,6.4867,39.6036,0.4129,0.2459,0.3801,0.689,1,0.6712,0.6487,0
O15520,citric acid,trehalose,polysorbate 20,arginine,sodium chloride,5.5,25,100,13.0026,100.5351,0.0415,109.3811,79.1259,0.2998,0.3251,0.1992,0.7416,2,0.7172,0.7191,1
O15520,citric acid,mannitol,poloxamer 188,proline,none,6.5,4,100,19.337,152.9109,0.0416,108.979,0.0,0.3475,0.2725,0.176,0.7685,2,0.7039,0.7179,1
O15520,citric acid,sorbitol,polysorbate 80,none,sodium chloride,7.4,25,10,43.0652,114.282,0.0216,0.0,80.7612,0.2716,0.3323,0.3657,0.7225,0,0.6955,0.6948,1
O15520,phosphoric acid,sorbitol,polysorbate 80,methionine,none,6.0,40,10,30.0189,198.759,0.0156,1.3587,0.0,0.3686,0.2317,0.3441,0.6967,0,0.698,0.6791,0
O15520,acetic acid,mannitol,poloxamer 188,proline,sodium chloride,5.0,25,100,43.4383,215.0398,0.048,149.9572,117.2282,0.3168,0.3025,0.269,0.7286,2,0.6904,0.7009,1
O15520,phosphoric acid,sucrose,polysorbate 80,methionine,none,7.4,40,10,17.2596,217.0659,0.0544,5.4255,0.0,0.233,0.2488,0.4966,0.7206,1,0.6824,0.7037,1
O15520,histidine,sorbitol,polysorbate 20,methionine,potassium chloride,6.0,4,1,23.1921,238.7347,0.0302,9.5067,42.5426,0.2206,0.1019,0.1272,0.8406,1,0.8376,0.8343,1
O15520,histidine,sorbitol,polysorbate 80,proline,potassium chloride,6.0,4,10,44.5964,264.9854,0.0101,136.9367,28.4791,0.2059,0.2857,0.1612,0.7932,2,0.7811,0.7835,1
O15520,histidine,trehalose,poloxamer 188,proline,none,6.5,40,1,18.1423,209.8439,0.0471,93.8116,0.0,0.197,0.3849,0.3086,0.7449,1,0.6997,0.7263,1
O15520,acetic acid,sucrose,polysorbate 80,none,sodium chloride,7.4,25,10,32.0336,210.4503,0.0165,0.0,149.2257,0.2648,0.3379,0.4222,0.709,1,0.6825,0.6834,1
O15520,histidine,sorbitol,polysorbate 80,glycine,potassium chloride,7.4,37,100,38.2165,183.0981,0.0438,120.833,28.2715,0.4164,0.3727,0.4079,0.6332,2,0.5855,0.6009,0
O15520,citric acid,sorbitol,polysorbate 80,none,none,7.4,25,1,21.0499,258.0012,0.039,0.0,0.0,0.2116,0.3224,0.3756,0.7537,1,0.7485,0.7271,1
O15520,phosphoric acid,sucrose,polysorbate 20,proline,none,7.0,40,1,27.8619,196.8683,0.0333,126.2873,0.0,0.246,0.3983,0.4457,0.7209,1,0.6383,0.6713,0
O15520,acetic acid,sorbitol,polysorbate 20,glycine,none,5.5,50,10,19.3425,255.1089,0.0131,161.7058,0.0,0.4303,0.4346,0.3665,0.6077,2,0.5719,0.585,0
O15520,acetic acid,sorbitol,poloxamer 188,glycine,potassium chloride,5.0,25,100,48.6141,166.3989,0.014,176.7559,13.9885,0.396,0.32,0.302,0.6915,2,0.6426,0.6512,0
O15520,acetic acid,sucrose,poloxamer 188,glycine,potassium chloride,7.4,25,1,28.7796,293.8407,0.0235,153.9057,35.9935,0.1202,0.3223,0.404,0.7995,2,0.7617,0.7652,1
O15520,phosphoric acid,sorbitol,polysorbate 20,methionine,none,5.0,50,1,19.3908,236.8799,0.0301,3.0474,0.0,0.4346,0.2779,0.4186,0.6487,1,0.6406,0.6188,0
O15520,histidine,sorbitol,polysorbate 80,arginine,potassium chloride,5.5,37,1,11.8396,259.2287,0.0305,87.4841,15.8228,0.1336,0.3604,0.2578,0.7849,1,0.7545,0.7754,1
O15520,acetic acid,trehalose,polysorbate 80,glycine,sodium chloride,7.0,40,100,37.3254,199.5335,0.0508,84.8283,113.7905,0.4511,0.3692,0.4408,0.6134,1,0.5863,0.5795,0
O15520,acetic acid,mannitol,poloxamer 188,arginine,potassium chloride,6.0,50,1,12.9545,289.0471,0.0495,79.9154,48.4812,0.3636,0.4267,0.3753,0.6634,1,0.6196,0.6223,0
O15520,phosphoric acid,sorbitol,polysorbate 20,glycine,potassium chloride,6.5,4,1,25.2546,171.7918,0.0307,154.8919,10.8776,0.1799,0.2868,0.2601,0.8041,1,0.7665,0.7759,1
O15520,acetic acid,mannitol,polysorbate 80,none,none,7.4,4,100,39.8069,266.5678,0.0732,0.0,0.0,0.3536,0.2899,0.3646,0.7062,2,0.6748,0.6679,0
O15520,citric acid,mannitol,polysorbate 80,glycine,none,6.0,25,100,13.8866,225.4916,0.0128,168.2916,0.0,0.4233,0.3004,0.2141,0.7051,2,0.6396,0.6618,0
O15520,histidine,mannitol,poloxamer 188,glycine,sodium chloride,6.0,37,100,26.6201,140.159,0.0415,181.4691,86.5858,0.387,0.3388,0.2536,0.6959,2,0.691,0.6638,0
O15520,phosphoric acid,trehalose,polysorbate 20,methionine,potassium chloride,7.4,37,1,28.7333,115.0599,0.0628,3.0305,37.0529,0.246,0.2538,0.457,0.7036,0,0.6936,0.7034,1
O15520,acetic acid,mannitol,polysorbate 80,methionine,sodium chloride,6.0,50,1,28.1914,234.5657,0.0571,6.261,132.2417,0.4176,0.3031,0.3673,0.6589,1,0.608,0.6279,0
O15520,phosphoric acid,sucrose,poloxamer 188,glycine,potassium chloride,5.0,50,100,23.1203,222.0164,0.0359,145.3106,28.5707,0.544,0.4491,0.3842,0.5522,2,0.5095,0.5215,0
O15520,phosphoric acid,sorbitol,polysorbate 80,glycine,sodium chloride,5.0,37,10,14.6448,146.96,0.0476,108.2969,87.1012,0.2209,0.3837,0.3129,0.7371,1,0.6942,0.7149,1
O15520,acetic acid,trehalose,polysorbate 20,arginine,potassium chloride,7.0,40,10,11.3087,174.106,0.041,145.0555,44.218,0.1843,0.3836,0.4274,0.7137,1,0.6667,0.7039,1
O15520,histidine,mannitol,poloxamer 188,proline,sodium chloride,6.5,37,1,48.7283,289.8022,0.043,59.1673,71.2106,0.2752,0.3699,0.2872,0.7192,1,0.6902,0.6984,1
O15520,histidine,sucrose,polysorbate 20,glycine,sodium chloride,7.0,25,1,43.1927,210.8416,0.051,171.9579,73.2999,0.1246,0.3241,0.3152,0.7795,2,0.7517,0.7758,1
O15520,citric acid,sucrose,polysorbate 20,glycine,sodium chloride,7.0,37,1,14.3971,273.2896,0.0192,103.7363,128.8432,0.2245,0.3348,0.335,0.7588,2,0.7411,0.7266,1
O15520,phosphoric acid,sucrose,polysorbate 80,proline,sodium chloride,5.5,40,100,14.546,112.7116,0.0414,86.2039,109.3666,0.4516,0.3938,0.3476,0.6688,1,0.6145,0.5996,0
O15520,acetic acid,trehalose,poloxamer 188,arginine,none,7.4,50,10,28.3217,292.8052,0.0124,97.8982,0.0,0.3543,0.4292,0.5242,0.6206,1,0.563,0.589,0
O15520,acetic acid,sorbitol,poloxamer 188,arginine,potassium chloride,7.4,40,1,45.9707,164.4224,0.0159,62.6192,34.9727,0.327,0.3755,0.4767,0.68,0,0.6334,0.633,0
O15520,phosphoric acid,sorbitol,poloxamer 188,none,potassium chloride,6.5,50,100,27.208,258.6192,0.0146,0.0,36.1885,0.6713,0.4658,0.4395,0.4775,2,0.4824,0.4458,0
O15520,citric acid,sorbitol,polysorbate 20,glycine,potassium chloride,6.0,40,10,26.6396,119.0172,0.0399,149.7662,24.972,0.3387,0.3696,0.2701,0.6797,1,0.6454,0.6678,0
O15520,citric acid,sorbitol,polysorbate 80,arginine,sodium chloride,5.0,40,1,39.7836,174.5294,0.0191,55.9981,145.6625,0.3559,0.4138,0.252,0.6844,0,0.6425,0.6548,0
O15520,phosphoric acid,sucrose,polysorbate 20,proline,none,6.5,4,10,34.0164,170.3292,0.0505,71.2739,0.0,0.1186,0.2547,0.2454,0.8255,0,0.79,0.8146,1
O15520,acetic acid,trehalose,polysorbate 80,proline,none,6.0,4,10,32.964,261.4443,0.0692,147.4547,0.0,0.0,0.2628,0.2147,0.8646,2,0.8502,0.8753,1
O15520,histidine,mannitol,polysorbate 80,glycine,potassium chloride,7.4,37,10,24.0409,136.2811,0.02,148.6017,12.7834,0.3267,0.3769,0.393,0.6726,1,0.6533,0.6486,0
O15520,histidine,sucrose,poloxamer 188,none,sodium chloride,6.5,40,10,23.6358,174.0106,0.0389,0.0,127.6836,0.2772,0.3933,0.303,0.7136,0,0.6661,0.687,1
O15520,histidine,sucrose,polysorbate 80,glycine,none,5.0,4,10,27.7245,184.803,0.0525,112.1276,0.0,0.0313,0.2392,0.149,0.8892,1,0.8562,0.8832,1
O15520,citric acid,sucrose,polysorbate 20,methionine,sodium chloride,6.0,50,10,31.0774,161.6839,0.0254,9.86,55.4782,0.4709,0.2786,0.3273,0.635,0,0.6157,0.6169,0
O15520,citric acid,mannitol,polysorbate 80,glycine,potassium chloride,6.0,37,1,10.3092,249.4028,0.0223,107.0311,38.1469,0.2542,0.3565,0.2519,0.751,2,0.7043,0.721,1
O15520,phosphoric acid,sucrose,polysorbate 20,arginine,potassium chloride,5.0,40,1,44.4844,215.1518,0.0501,120.9499,26.7078,0.1677,0.3682,0.3509,0.7705,2,0.6762,0.7353,1
O15520,histidine,sorbitol,polysorbate 80,proline,sodium chloride,7.0,40,100,46.7908,117.626,0.0691,74.3316,108.8871,0.4353,0.3938,0.3699,0.6306,1,0.5844,0.5951,0
O15520,acetic acid,mannitol,poloxamer 188,none,potassium chloride,7.4,50,100,18.8629,255.8236,0.0131,0.0,35.329,0.702,0.4412,0.5658,0.4635,2,0.4217,0.4096,0
O15520,phosphoric acid,mannitol,poloxamer 188,none,sodium chloride,7.4,40,100,19.4508,129.2888,0.0179,0.0,110.2399,0.6002,0.3779,0.4864,0.5432,1,0.4919,0.4938,0
O15520,citric acid,sorbitol,polysorbate 20,none,potassium chloride,7.4,50,100,37.2453,276.4096,0.055,0.0,49.4613,0.6357,0.4747,0.4914,0.4874,2,0.4748,0.4493,0
O15520,phosphoric acid,trehalose,polysorbate 20,none,sodium chloride,7.4,50,10,28.7568,226.277,0.0657,0.0,109.142,0.3883,0.413,0.5332,0.5783,1,0.5586,0.5719,0
O15520,histidine,mannitol,polysorbate 20,none,potassium chloride,7.0,50,10,11.5043,173.7475,0.0301,0.0,35.7867,0.5045,0.4687,0.4332,0.5575,0,0.5408,0.5273,0
O15520,acetic acid,sorbitol,poloxamer 188,none,sodium chloride,7.4,50,100,27.9893,261.9632,0.0361,0.0,82.1527,0.6067,0.4471,0.5599,0.4769,2,0.476,0.4535,0
O15520,citric acid,sucrose,polysorbate 20,none,sodium chloride,7.0,40,100,42.4387,267.4754,0.0788,0.0,58.4329,0.3946,0.3789,0.3824,0.6782,2,0.6168,0.6207,0
O15520,histidine,trehalose,poloxamer 188,none,potassium chloride,7.4,40,100,49.6394,204.8137,0.0344,0.0,24.5559,0.4968,0.3783,0.4102,0.6083,2,0.5479,0.561,0
O15520,acetic acid,mannitol,poloxamer 188,none,sodium chloride,6.5,50,10,41.5691,229.4611,0.0126,0.0,59.4506,0.5149,0.4364,0.4455,0.5687,1,0.5468,0.5298,0
O15520,phosphoric acid,trehalose,polysorbate 20,none,sodium chloride,6.0,40,100,33.3096,128.2857,0.0345,0.0,146.7697,0.513,0.3811,0.3283,0.5979,1,0.5846,0.5704,0
O15520,histidine,mannitol,poloxamer 188,none,potassium chloride,5.5,40,100,35.7397,165.6953,0.0151,0.0,38.1132,0.5737,0.3713,0.286,0.6108,1,0.5742,0.5566,0
O15520,acetic acid,mannitol,polysorbate 80,none,potassium chloride,7.4,50,100,22.3546,290.2339,0.0339,0.0,40.6462,0.6908,0.432,0.5296,0.4477,2,0.4599,0.4238,0
O15520,citric acid,trehalose,polysorbate 80,none,sodium chloride,7.4,40,100,21.8317,257.624,0.0455,0.0,103.9771,0.4646,0.3843,0.4271,0.5872,2,0.6144,0.5723,0
O15520,phosphoric acid,trehalose,poloxamer 188,none,potassium chloride,7.4,50,100,16.1701,136.1692,0.0377,0.0,34.9896,0.6414,0.4452,0.5592,0.4924,1,0.4457,0.4396,0
O15520,acetic acid,sucrose,polysorbate 20,none,potassium chloride,7.4,40,100,37.0545,147.506,0.0411,0.0,21.3971,0.4938,0.3922,0.5212,0.5909,1,0.5589,0.538,0
O15520,citric acid,mannitol,polysorbate 20,none,sodium chloride,5.5,40,100,24.7136,289.426,0.0789,0.0,96.168,0.421,0.3703,0.271,0.6587,2,0.6549,0.6328,0
O15520,acetic acid,trehalose,polysorbate 80,none,sodium chloride,6.5,50,10,44.9201,110.436,0.0436,0.0,87.1212,0.3978,0.4665,0.4359,0.5994,0,0.5524,0.5759,0
O15520,histidine,mannitol,polysorbate 80,none,sodium chloride,7.4,50,100,20.9117,281.0612,0.0203,0.0,93.7473,0.6456,0.4559,0.4794,0.4768,2,0.4348,0.4472,0
O15520,acetic acid,mannitol,polysorbate 80,none,potassium chloride,7.4,40,100,12.1303,200.4014,0.0265,0.0,49.781,0.5519,0.4102,0.489,0.5248,2,0.5046,0.5043,0
O15520,histidine,mannitol,polysorbate 80,none,potassium chloride,5.5,50,10,41.6552,127.5199,0.0301,0.0,43.1905,0.4662,0.4031,0.3275,0.6143,0,0.6033,0.5879,0
O15520,acetic acid,sorbitol,poloxamer 188,none,sodium chloride,7.4,40,100,46.2343,103.8008,0.0186,0.0,64.952,0.6513,0.4021,0.4889,0.4914,1,0.5161,0.4633,0
O15520,phosphoric acid,trehalose,polysorbate 20,none,sodium chloride,5.0,40,100,11.91,183.9651,0.0656,0.0,95.7114,0.426,0.3854,0.3426,0.6399,1,0.6065,0.6085,0
O15520,acetic acid,sucrose,poloxamer 188,none,sodium chloride,7.4,50,100,38.7418,158.2544,0.0101,0.0,85.2816,0.6788,0.4354,0.5478,0.4666,1,0.4192,0.4236,0
O15520,histidine,mannitol,polysorbate 80,none,sodium chloride,5.5,40,100,25.6181,194.027,0.0545,0.0,148.1039,0.4813,0.3814,0.2955,0.5846,1,0.6195,0.5901,0
O15520,histidine,mannitol,polysorbate 80,none,potassium chloride,7.4,50,10,19.645,231.4209,0.0173,0.0,33.2761,0.5499,0.4125,0.4732,0.5451,1,0.4881,0.5086,0
O15520,histidine,mannitol,poloxamer 188,none,potassium chloride,5.5,50,10,42.5404,135.0178,0.0412,0.0,28.5849,0.4345,0.4269,0.3546,0.6326,0,0.6123,0.5933,0
O15520,citric acid,trehalose,polysorbate 80,none,potassium chloride,7.4,40,100,11.4794,140.3182,0.0654,0.0,45.4316,0.4646,0.3682,0.4151,0.6187,1,0.5567,0.5772,0
O15520,acetic acid,sorbitol,polysorbate 20,none,sodium chloride,6.0,50,10,40.1316,138.2207,0.035,0.0,128.0842,0.5183,0.44,0.3927,0.5824,0,0.5479,0.5389,0
O15520,histidine,mannitol,polysorbate 20,none,potassium chloride,6.0,50,10,39.7323,278.9275,0.0371,0.0,48.9489,0.4438,0.461,0.3121,0.6221,1,0.5971,0.5873,0
O15520,acetic acid,mannitol,poloxamer 188,none,potassium chloride,7.4,40,100,42.0459,245.4163,0.0132,0.0,34.0981,0.5737,0.3901,0.4742,0.5611,2,0.5068,0.5072,0
