protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score
A0A1B0GTW7,histidine,mannitol,polysorbate 20,none,6.5,40,50.0,200.0,0.01,0.0,0.3175,0.3505,0.1694,0.6709,0,0.7599
A0A1B0GTW7,histidine,mannitol,polysorbate 80,none,6.0,4,10.0,300.0,0.045,0.0,0.2418,0.2057,0.0722,0.8139,1,0.837
A0A1B0GTW7,phosphoric acid,mannitol,polysorbate 20,none,7.0,4,30.0,300.0,0.01,0.0,0.199,0.3439,0.2785,0.7788,1,0.7097
A0A1B0GTW7,phosphoric acid,sucrose,poloxamer 188,methionine,5.0,40,50.0,300.0,0.05,10.0,0.2627,0.2867,0.2554,0.7431,1,0.7404
A0A1B0GTW7,citric acid,mannitol,polysorbate 20,arginine,7.4,25,50.0,200.0,0.08,50.0,0.2302,0.3645,0.2109,0.777,0,0.7049
A0A1B0GTW7,phosphoric acid,mannitol,poloxamer 188,methionine,6.0,25,50.0,200.0,0.05,1.0,0.3249,0.2215,0.1543,0.7816,0,0.7728
A0A1B0GTW7,citric acid,sorbitol,poloxamer 188,methionine,7.4,40,10.0,300.0,0.05,5.5,0.5035,0.295,0.2036,0.5989,1,0.6439
A0A1B0GTW7,acetic acid,sucrose,polysorbate 20,proline,5.5,25,50.0,300.0,0.08,100.0,0.0353,0.3788,0.1398,0.8355,1,0.8329
A0A1B0GTW7,acetic acid,sorbitol,polysorbate 20,glycine,7.0,25,50.0,100.0,0.08,50.0,0.2993,0.3175,0.2917,0.7269,0,0.6779
A0A1B0GTW7,phosphoric acid,mannitol,polysorbate 80,glycine,7.4,25,10.0,100.0,0.01,50.0,0.3785,0.3502,0.2564,0.6936,0,0.6589
A0A1B0GTW7,histidine,trehalose,polysorbate 20,none,5.0,25,30.0,300.0,0.08,0.0,0.0762,0.2594,0.1002,0.8469,1,0.9043
A0A1B0GTW7,citric acid,sorbitol,polysorbate 20,methionine,5.5,4,50.0,300.0,0.01,1.0,0.1642,0.1932,0.0802,0.866,1,0.8399
A0A1B0GTW7,acetic acid,trehalose,polysorbate 80,none,6.5,4,50.0,100.0,0.01,0.0,0.0998,0.3363,0.1567,0.8448,0,0.8193
A0A1B0GTW7,acetic acid,trehalose,polysorbate 20,none,7.0,40,30.0,200.0,0.08,0.0,0.1686,0.4642,0.3746,0.6846,0,0.6935
A0PK11,acetic acid,sorbitol,polysorbate 80,methionine,6.5,25,10.0,300.0,0.045,10.0,0.572,0.1285,0.2374,0.6974,1,0.6611
A0PK11,acetic acid,trehalose,polysorbate 20,methionine,5.0,40,30.0,100.0,0.045,5.5,0.2861,0.2652,0.3106,0.7048,0,0.7088
A0PK11,phosphoric acid,sucrose,polysorbate 80,glycine,5.5,25,50.0,100.0,0.08,50.0,0.176,0.3116,0.2389,0.8046,0,0.7905
A0PK11,histidine,sorbitol,polysorbate 20,proline,7.0,25,30.0,100.0,0.01,100.0,0.4856,0.2033,0.2162,0.708,0,0.6773
A0PK11,acetic acid,sucrose,poloxamer 188,methionine,6.5,4,30.0,200.0,0.03,5.5,0.5664,0.1516,0.206,0.7286,0,0.646
A0PK11,citric acid,sorbitol,polysorbate 80,proline,6.5,25,10.0,200.0,0.045,150.0,0.5771,0.3128,0.1382,0.6602,1,0.6464
A0PK11,acetic acid,trehalose,polysorbate 20,glycine,7.0,40,10.0,200.0,0.08,200.0,0.4179,0.3717,0.4239,0.573,1,0.6136
A0PK11,histidine,sucrose,poloxamer 188,methionine,5.5,25,10.0,100.0,0.03,5.5,0.2782,0.0231,0.116,0.8669,0,0.8357
A0PK11,phosphoric acid,trehalose,polysorbate 20,proline,6.0,25,30.0,200.0,0.045,50.0,0.2888,0.2945,0.2273,0.7405,0,0.7185
A0PK11,acetic acid,sucrose,poloxamer 188,none,5.0,25,10.0,300.0,0.01,0.0,0.2562,0.2607,0.1943,0.7661,1,0.7568
A0PK11,histidine,sucrose,polysorbate 80,glycine,5.0,40,10.0,100.0,0.01,125.0,0.2919,0.3192,0.2396,0.6864,1,0.7152
A0PK11,histidine,trehalose,polysorbate 20,proline,6.0,4,50.0,300.0,0.08,150.0,0.2668,0.1893,0.1166,0.8196,2,0.785
A0PK11,histidine,trehalose,polysorbate 20,arginine,7.0,4,30.0,300.0,0.08,100.0,0.2372,0.2203,0.2202,0.803,1,0.7868
A0PK11,acetic acid,trehalose,polysorbate 80,none,7.4,40,10.0,100.0,0.08,0.0,0.3029,0.3941,0.4227,0.628,0,0.6183
A0PK11,phosphoric acid,sucrose,poloxamer 188,arginine,6.0,40,30.0,300.0,0.03,50.0,0.4176,0.3996,0.3514,0.612,1,0.6507
A0PK11,phosphoric acid,sucrose,polysorbate 20,methionine,5.0,25,30.0,300.0,0.045,10.0,0.1262,0.1571,0.2261,0.901,1,0.8184
A0PK11,citric acid,sorbitol,polysorbate 80,none,7.4,25,50.0,300.0,0.045,0.0,0.3064,0.2777,0.1799,0.7476,1,0.725
A0PK11,acetic acid,sorbitol,poloxamer 188,none,6.0,25,10.0,100.0,0.03,0.0,0.5847,0.2965,0.2599,0.6442,0,0.5877
A0PK11,acetic acid,trehalose,polysorbate 20,none,7.0,40,30.0,200.0,0.01,0.0,0.3914,0.3995,0.396,0.631,0,0.6284
A0PK11,acetic acid,mannitol,polysorbate 80,methionine,5.5,25,30.0,200.0,0.045,10.0,0.3018,0.1054,0.2495,0.7955,0,0.7976
A0PK11,phosphoric acid,sucrose,poloxamer 188,glycine,5.0,4,50.0,200.0,0.03,200.0,0.2181,0.2777,0.2225,0.7859,1,0.7537
A0PK11,citric acid,sorbitol,poloxamer 188,methionine,6.5,4,10.0,200.0,0.01,5.5,0.7322,0.1183,0.1196,0.6501,0,0.6461
A0PK11,citric acid,mannitol,poloxamer 188,none,6.0,25,50.0,300.0,0.03,0.0,0.5682,0.2672,0.0917,0.6998,1,0.6717
A0PK11,acetic acid,mannitol,polysorbate 20,methionine,6.0,25,30.0,100.0,0.01,10.0,0.4577,0.1707,0.2247,0.7443,0,0.6996
A0PK11,citric acid,mannitol,polysorbate 80,none,7.4,4,10.0,100.0,0.08,0.0,0.4268,0.3248,0.2174,0.7078,0,0.6795
A0PK11,acetic acid,mannitol,poloxamer 188,none,7.0,40,30.0,100.0,0.01,0.0,0.726,0.3704,0.4361,0.4824,0,0.4325
A0PK11,phosphoric acid,trehalose,polysorbate 20,glycine,6.0,4,50.0,300.0,0.01,125.0,0.2613,0.2489,0.217,0.7917,2,0.7857
A0PK11,histidine,sucrose,poloxamer 188,proline,7.4,4,50.0,200.0,0.01,50.0,0.3005,0.2222,0.1948,0.7401,0,0.7536
A0PK11,phosphoric acid,sorbitol,polysorbate 20,methionine,6.0,4,10.0,200.0,0.045,1.0,0.475,0.139,0.1811,0.7303,0,0.6879
A0PK11,histidine,sorbitol,polysorbate 20,arginine,7.0,40,50.0,100.0,0.01,50.0,0.5251,0.297,0.3036,0.5799,0,0.5886
A0PK11,phosphoric acid,sucrose,polysorbate 80,arginine,7.0,25,50.0,300.0,0.08,50.0,0.2198,0.3088,0.3027,0.769,1,0.7181
A0PK11,acetic acid,sorbitol,polysorbate 20,proline,7.0,25,30.0,300.0,0.08,50.0,0.4279,0.2875,0.3017,0.6712,1,0.6281
A0PK11,histidine,trehalose,poloxamer 188,glycine,6.0,40,10.0,100.0,0.01,50.0,0.5891,0.2904,0.2084,0.5898,0,0.6125
A0PK11,histidine,trehalose,polysorbate 80,methionine,6.5,40,50.0,200.0,0.045,1.0,0.5569,0.1519,0.2376,0.6235,0,0.6489
A0PK11,citric acid,mannitol,poloxamer 188,proline,7.4,25,10.0,300.0,0.01,100.0,0.4234,0.2436,0.1921,0.7465,1,0.7328
A0PK11,citric acid,sorbitol,polysorbate 80,none,5.5,40,10.0,200.0,0.01,0.0,0.4084,0.4012,0.2286,0.6821,0,0.6701
A0PK11,histidine,sucrose,polysorbate 80,proline,7.0,40,50.0,200.0,0.045,50.0,0.4145,0.2705,0.2903,0.6491,0,0.6508
A0PK11,acetic acid,mannitol,poloxamer 188,methionine,6.0,40,50.0,200.0,0.03,1.0,0.6208,0.2267,0.3008,0.6072,0,0.611
A0PK11,histidine,sorbitol,poloxamer 188,proline,7.0,25,10.0,100.0,0.01,150.0,0.5847,0.2193,0.224,0.6383,1,0.6636
A0PK11,histidine,mannitol,poloxamer 188,arginine,5.5,25,50.0,300.0,0.03,100.0,0.3354,0.1689,0.1186,0.7739,1,0.7519
A0PK11,citric acid,sorbitol,poloxamer 188,methionine,5.0,25,30.0,200.0,0.03,5.5,0.4437,0.1778,0.0944,0.7615,0,0.7278
A0PK11,histidine,trehalose,polysorbate 20,methionine,7.4,25,30.0,300.0,0.045,10.0,0.167,0.0278,0.2051,0.8848,1,0.8467
A0PK11,histidine,sorbitol,polysorbate 80,proline,6.0,25,10.0,200.0,0.08,50.0,0.4716,0.1886,0.1176,0.7131,0,0.7079
A0PK11,acetic acid,sorbitol,polysorbate 80,glycine,7.0,25,50.0,200.0,0.08,125.0,0.491,0.2997,0.3029,0.6551,1,0.6379
A0PK11,histidine,trehalose,polysorbate 20,none,5.5,25,30.0,300.0,0.045,0.0,0.0992,0.2005,0.1092,0.8898,1,0.8522
A0PK11,histidine,sucrose,poloxamer 188,none,5.5,40,10.0,200.0,0.05,0.0,0.3118,0.2571,0.2234,0.7087,0,0.7131
A0PK11,histidine,sorbitol,polysorbate 80,glycine,5.0,25,10.0,300.0,0.01,125.0,0.3184,0.1564,0.1211,0.7773,2,0.7763
A0PK11,phosphoric acid,mannitol,polysorbate 20,methionine,6.5,4,30.0,300.0,0.01,5.5,0.5983,0.1224,0.2147,0.7011,1,0.648
A0PK11,citric acid,trehalose,polysorbate 80,proline,6.5,25,50.0,200.0,0.01,100.0,0.4886,0.2671,0.133,0.7267,0,0.6351
A0PK11,phosphoric acid,sorbitol,polysorbate 80,methionine,7.0,25,30.0,200.0,0.08,10.0,0.4444,0.1512,0.3184,0.7206,0,0.6693
A0PK11,acetic acid,sorbitol,polysorbate 20,glycine,7.4,4,50.0,200.0,0.01,125.0,0.3509,0.2865,0.3458,0.7096,1,0.6767
A0PK11,histidine,mannitol,poloxamer 188,methionine,7.4,25,30.0,300.0,0.05,1.0,0.4193,0.0299,0.2138,0.7885,1,0.7508
A0PK11,acetic acid,sucrose,polysorbate 80,none,7.0,25,10.0,200.0,0.01,0.0,0.327,0.3312,0.3398,0.6954,0,0.6919
A0PK11,acetic acid,sucrose,poloxamer 188,glycine,6.5,40,10.0,100.0,0.03,125.0,0.6679,0.3489,0.3023,0.4803,1,0.5305
A0PK11,phosphoric acid,sorbitol,poloxamer 188,arginine,6.0,40,50.0,200.0,0.03,150.0,0.5841,0.4232,0.329,0.5192,1,0.5573
A0PK11,acetic acid,sucrose,poloxamer 188,arginine,5.5,40,50.0,200.0,0.01,150.0,0.2196,0.3944,0.3378,0.6467,1,0.7154
A0PK11,histidine,sorbitol,polysorbate 80,arginine,6.5,4,50.0,200.0,0.01,50.0,0.5437,0.1813,0.1351,0.7465,0,0.6912
A0PK11,phosphoric acid,sucrose,polysorbate 20,proline,6.0,25,10.0,100.0,0.08,100.0,0.3376,0.2805,0.2054,0.7563,0,0.7021
A0PK11,citric acid,trehalose,polysorbate 80,arginine,7.0,25,50.0,300.0,0.01,100.0,0.2238,0.2801,0.232,0.7867,1,0.7776
A0PK11,citric acid,trehalose,polysorbate 20,proline,6.5,25,50.0,100.0,0.045,100.0,0.4649,0.2843,0.1028,0.6993,0,0.7055
A1A4S6,citric acid,sucrose,polysorbate 20,proline,7.0,25,50.0,200.0,0.08,100.0,0.3277,0.2749,0.3643,0.7407,0,0.6854
A1A4S6,acetic acid,mannitol,polysorbate 80,methionine,6.5,4,10.0,200.0,0.08,5.5,0.5107,0.1279,0.322,0.6574,0,0.6907
A1A4S6,phosphoric acid,mannitol,polysorbate 80,methionine,6.0,4,50.0,300.0,0.08,1.0,0.3074,0.1423,0.3525,0.7414,1,0.7775
A1A4S6,acetic acid,mannitol,polysorbate 80,none,6.0,4,50.0,100.0,0.08,0.0,0.325,0.2956,0.3614,0.7187,0,0.6774
A1A4S6,phosphoric acid,trehalose,poloxamer 188,arginine,7.4,40,10.0,200.0,0.03,50.0,0.2813,0.4028,0.5845,0.6266,0,0.6231
A1A4S6,phosphoric acid,trehalose,polysorbate 80,proline,6.0,40,30.0,100.0,0.01,50.0,0.2557,0.3736,0.4443,0.6479,0,0.6742
A1A4S6,phosphoric acid,mannitol,polysorbate 80,proline,6.5,25,50.0,200.0,0.01,100.0,0.4036,0.324,0.3437,0.6641,0,0.618
A1A4S6,histidine,trehalose,polysorbate 80,methionine,7.0,25,10.0,200.0,0.01,5.5,0.2554,0.0598,0.3483,0.7844,0,0.7495
A1A4S6,histidine,sorbitol,polysorbate 20,proline,7.0,25,50.0,200.0,0.01,150.0,0.4449,0.2268,0.3417,0.6556,1,0.6466
A1A4S6,citric acid,sorbitol,polysorbate 80,none,7.0,25,50.0,100.0,0.08,0.0,0.4635,0.2394,0.3458,0.669,0,0.653
A1A4S6,histidine,sorbitol,poloxamer 188,proline,7.4,25,10.0,100.0,0.01,50.0,0.5071,0.2159,0.3415,0.6419,0,0.6814
A1A4S6,phosphoric acid,sorbitol,polysorbate 80,arginine,5.5,40,10.0,200.0,0.045,100.0,0.2515,0.3937,0.4464,0.646,0,0.6445
A1A4S6,acetic acid,trehalose,polysorbate 20,arginine,6.5,40,30.0,200.0,0.01,150.0,0.3072,0.3824,0.4462,0.6123,1,0.6143
A1A4S6,phosphoric acid,trehalose,polysorbate 20,methionine,5.5,25,10.0,300.0,0.045,10.0,0.0662,0.1383,0.3769,0.8036,1,0.8408
A1A4S6,phosphoric acid,sucrose,polysorbate 20,proline,5.5,4,30.0,100.0,0.08,50.0,0.1338,0.2519,0.34,0.7955,0,0.7408
A1A4S6,histidine,sucrose,polysorbate 20,glycine,5.5,40,10.0,100.0,0.08,50.0,0.173,0.2712,0.3819,0.7418,0,0.7603
A1A4S6,citric acid,trehalose,polysorbate 20,glycine,7.0,4,30.0,100.0,0.01,200.0,0.3433,0.2708,0.3364,0.7239,1,0.6561
A1A4S6,phosphoric acid,trehalose,polysorbate 80,arginine,5.5,4,30.0,100.0,0.08,100.0,0.0378,0.2886,0.3394,0.8447,0,0.8054
A1A4S6,histidine,trehalose,polysorbate 20,arginine,5.5,40,30.0,300.0,0.01,150.0,0.0722,0.3166,0.3252,0.7734,2,0.7904
A1A4S6,histidine,sorbitol,polysorbate 20,proline,7.0,40,10.0,200.0,0.08,50.0,0.5457,0.2999,0.4218,0.5758,0,0.5615
A1A4S6,histidine,mannitol,polysorbate 20,arginine,5.0,25,30.0,200.0,0.08,50.0,0.134,0.2144,0.2328,0.8074,0,0.7811
A1A4S6,acetic acid,sorbitol,polysorbate 80,arginine,6.0,40,10.0,100.0,0.01,100.0,0.3593,0.3678,0.482,0.5579,0,0.6353
A1A4S6,phosphoric acid,sorbitol,poloxamer 188,none,6.0,25,50.0,300.0,0.03,0.0,0.3941,0.2915,0.336,0.6957,1,0.6534
A1A4S6,histidine,sucrose,poloxamer 188,none,7.4,4,30.0,200.0,0.01,0.0,0.3181,0.1957,0.3499,0.7368,0,0.708
A1A4S6,acetic acid,mannitol,polysorbate 20,methionine,6.5,40,10.0,200.0,0.045,5.5,0.5636,0.2092,0.4199,0.5927,0,0.5892
A1A4S6,phosphoric acid,mannitol,polysorbate 80,methionine,5.0,4,10.0,100.0,0.045,1.0,0.2409,0.1438,0.3538,0.779,0,0.7388
A1A4S6,phosphoric acid,trehalose,poloxamer 188,arginine,7.0,40,50.0,200.0,0.05,50.0,0.4309,0.3738,0.555,0.5204,0,0.5696
A1A4S6,acetic acid,mannitol,poloxamer 188,methionine,7.4,4,30.0,300.0,0.03,5.5,0.4325,0.1485,0.4665,0.7224,1,0.6628
A1A4S6,histidine,trehalose,polysorbate 80,methionine,5.5,4,30.0,300.0,0.045,1.0,0.0078,0.0178,0.2344,0.9452,1,0.9316
A1A4S6,phosphoric acid,trehalose,polysorbate 20,none,7.0,40,50.0,300.0,0.08,0.0,0.3666,0.3971,0.5318,0.5657,1,0.5466
A1A4S6,histidine,mannitol,polysorbate 80,glycine,6.0,40,30.0,200.0,0.045,50.0,0.3767,0.2664,0.3273,0.675,0,0.6522
A1A4S6,citric acid,trehalose,poloxamer 188,methionine,5.0,4,50.0,300.0,0.01,1.0,0.242,0.1533,0.2506,0.7899,1,0.7961
A1A4S6,citric acid,sorbitol,polysorbate 20,methionine,6.0,4,30.0,200.0,0.08,5.5,0.2871,0.1458,0.2981,0.7799,0,0.775
A1A4S6,histidine,sucrose,polysorbate 80,glycine,7.0,4,50.0,100.0,0.045,125.0,0.3006,0.1927,0.3823,0.733,1,0.7435
A1A4S6,acetic acid,sorbitol,poloxamer 188,methionine,6.5,25,10.0,300.0,0.01,5.5,0.559,0.1321,0.3595,0.6843,1,0.6414
A1A4S6,acetic acid,sucrose,polysorbate 20,none,6.5,40,50.0,200.0,0.01,0.0,0.3573,0.3788,0.4419,0.6036,0,0.6233
A1A4S6,citric acid,sorbitol,poloxamer 188,arginine,5.0,4,30.0,100.0,0.01,100.0,0.2717,0.2667,0.2545,0.7726,0,0.7462
A1A4S6,phosphoric acid,mannitol,polysorbate 80,arginine,6.5,40,30.0,100.0,0.01,100.0,0.5235,0.4101,0.456,0.525,0,0.4975
A1A4S6,citric acid,mannitol,polysorbate 80,methionine,7.4,4,30.0,100.0,0.045,1.0,0.3646,0.1475,0.3523,0.7139,0,0.6826
A1A4S6,phosphoric acid,sorbitol,poloxamer 188,methionine,7.4,40,30.0,200.0,0.01,5.5,0.5666,0.2426,0.5605,0.539,0,0.533
A1A4S6,histidine,mannitol,polysorbate 80,none,6.5,40,30.0,100.0,0.045,0.0,0.5992,0.2831,0.3488,0.5464,0,0.5621
A1A4S6,histidine,trehalose,polysorbate 20,none,6.5,40,10.0,200.0,0.045,0.0,0.3951,0.2978,0.3373,0.6603,0,0.6335
A1A4S6,phosphoric acid,trehalose,polysorbate 20,glycine,5.0,40,50.0,100.0,0.08,200.0,0.1908,0.3846,0.4758,0.6671,1,0.6862
A1A4S6,citric acid,mannitol,polysorbate 20,glycine,5.5,4,10.0,200.0,0.01,50.0,0.1851,0.2987,0.2647,0.785,0,0.7782
A1A4S6,citric acid,sucrose,polysorbate 80,methionine,6.5,40,50.0,200.0,0.08,10.0,0.3889,0.2716,0.3928,0.6271,0,0.6362
A1A4S6,phosphoric acid,mannitol,polysorbate 80,methionine,5.0,25,30.0,300.0,0.045,5.5,0.2566,0.175,0.3364,0.7692,1,0.7383
A1A4S6,histidine,mannitol,poloxamer 188,arginine,6.0,25,30.0,100.0,0.01,100.0,0.3007,0.175,0.2268,0.7665,0,0.7585
A1A4S6,phosphoric acid,sucrose,poloxamer 188,arginine,7.0,40,50.0,200.0,0.03,150.0,0.432,0.4244,0.5269,0.5642,1,0.5375
A1A4S6,histidine,sorbitol,poloxamer 188,glycine,6.0,40,30.0,300.0,0.01,50.0,0.4863,0.3069,0.3244,0.6062,1,0.6194
A1A4S6,acetic acid,sucrose,polysorbate 20,arginine,7.0,40,10.0,100.0,0.01,150.0,0.3565,0.3992,0.596,0.5557,1,0.5483
A1A4S6,acetic acid,sorbitol,poloxamer 188,none,7.0,4,30.0,200.0,0.03,0.0,0.5363,0.2823,0.4341,0.6377,0,0.599
A1A4S6,acetic acid,sorbitol,polysorbate 20,none,5.0,40,50.0,200.0,0.01,0.0,0.3126,0.3767,0.4563,0.6096,0,0.6377
A1A4S6,phosphoric acid,sucrose,poloxamer 188,methionine,6.0,25,50.0,300.0,0.05,1.0,0.2438,0.1131,0.3778,0.8289,1,0.7429
A1A4S6,phosphoric acid,sucrose,poloxamer 188,glycine,6.0,25,50.0,300.0,0.05,125.0,0.2261,0.2991,0.3535,0.7623,2,0.754
