source,drug_name,keyword,ph,storage,has_histidine,has_citric_acid,has_phosphate,has_acetate,has_succinate,has_sucrose,has_trehalose,has_mannitol,has_sorbitol,has_polysorbate_80,has_polysorbate_20,has_poloxamer_188,has_arginine,has_glycine,has_proline,has_methionine,has_sodium_chloride,has_potassium_chloride,has_edta,has_ascorbic_acid
FDA_DailyMed,"ENHERTU (FAM-TRASTUZUMAB DERUXTECAN-NXKI) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [DAIICHI SANKYO INC.]",trastuzumab,5.5,2-8C,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"ONTRUZANT (TRASTUZUMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION ONTRUZANT KIT [ORGANON LLC]",trastuzumab,,2-8C,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"TRAZIMERA (TRASTUZUMAB-QYYP) KIT TRAZIMERA (TRASTUZUMAB-QYYP) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [PFIZER LABORATORIES DIV PFIZER INC]",trastuzumab,6.2,2-8C,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"KADCYLA (ADO-TRASTUZUMAB EMTANSINE) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [GENENTECH, INC.]",trastuzumab,5.0,2-8C,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"KANJINTI (TRASTUZUMAB-ANNS) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [AMGEN, INC]",trastuzumab,,2-8C,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"HERZUMA (TRASTUZUMAB) KIT HERZUMA (TRASTUZUMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [CEPHALON, INC.]",trastuzumab,,2-8C,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"HERCEPTIN HYLECTA (TRASTUZUMAB AND HYALURONIDASE-OYSK) INJECTION, SOLUTION [GENENTECH, INC.]",trastuzumab,,2-8C,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDA_DailyMed,"PHESGO (PERTUZUMAB, TRASTUZUMAB, AND HYALURONIDASE-ZZXF) INJECTION, SOLUTION [GENENTECH, INC.]",trastuzumab,,2-8C,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDA_DailyMed,"HERCESSI (TRASTUZUMAB-STRF) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [ACCORD BIOPHARMA INC.]",trastuzumab,,2-8C,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"OGIVRI (TRASTUZUMAB-DKST) KIT OGIVRI (TRASTUZUMAB-DKST) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [BIOCON BIOLOGICS INC.]",trastuzumab,5.8,2-8C,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"ALYMSYS (BEVACIZUMAB-MALY) INJECTION, SOLUTION [VALORUM BIOLOGICS, LLC]",bevacizumab,,2-8C,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"ALYMSYS (BEVACIZUMAB-MALY) INJECTION, SOLUTION [AMNEAL PHARMACEUTICALS LLC]",bevacizumab,,2-8C,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"MVASI (BEVACIZUMAB-AWWB) INJECTION, SOLUTION [AMGEN, INC]",bevacizumab,,2-8C,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"AVZIVI TNJN (BEVACIZUMAB) INJECTION, SOLUTION AVZIVI (BEVACIZUMAB-TNJN) INJECTION, SOLUTION [BIO-THERA SOLUTIONS, LTD.]",bevacizumab,,2-8C,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"ZIRABEV (BEVACIZUMAB-BVZR) INJECTION, SOLUTION [PFIZER LABORATORIES DIV PFIZER INC]",bevacizumab,,2-8C,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
FDA_DailyMed,"VEGZELMA (BEVACIZUMAB-ADCD) INJECTION, SOLUTION [CELLTRION USA, INC.]",bevacizumab,,2-8C,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,JOBEVNE (BEVACIZUMAB-NWGD) INJECTION [BIOCON BIOLOGICS INC.],bevacizumab,,2-8C,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"AVASTIN (BEVACIZUMAB) INJECTION, SOLUTION [GENENTECH, INC.]",bevacizumab,,2-8C,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"RUXIENCE (RITUXIMAB-PVVR) INJECTION, SOLUTION [PFIZER LABORATORIES DIV PFIZER INC]",rituximab,,2-8C,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
FDA_DailyMed,"RITUXAN HYCELA (RITUXIMAB AND HYALURONIDASE) INJECTION, SOLUTION [GENENTECH, INC.]",rituximab,,2-8C,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDA_DailyMed,"RIABNI (RITUXIMAB-ARRX) INJECTION, SOLUTION [AMGEN, INC]",rituximab,,2-8C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"TRUXIMA (RITUXIMAB-ABBS) INJECTION, SOLUTION [CEPHALON, INC.]",rituximab,,2-8C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"RITUXAN (RITUXIMAB) INJECTION, SOLUTION [GENENTECH, INC.]",rituximab,,2-8C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"INFLIXIMAB INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [JANSSEN BIOTECH, INC.]",infliximab,,2-8C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"RENFLEXIS (INFLIXIMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [ORGANON LLC]",infliximab,,2-8C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"INFLECTRA (INFLIXIMAB-DYYB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [PFIZER LABORATORIES DIV PFIZER INC]",infliximab,,2-8C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"AVSOLA (INFLIXIMAB-AXXQ) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [AMGEN, INC]",infliximab,,2-8C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"REMICADE (INFLIXIMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [JANSSEN BIOTECH, INC.]",infliximab,,2-8C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,ZYMFENTRA (INFLIXIMAB-DYYB) KIT ZYMFENTRA (INFLIXIMAB-DYYB) INJECTION [CELLTRION USA INC.],infliximab,,2-8C,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
FDA_DailyMed,"RENFLEXIS (INFLIXIMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [MERCK SHARP & DOHME LLC]",infliximab,,2-8C,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"HUMALOG MIX50/50 (INSULIN LISPRO) INJECTION, SUSPENSION HUMALOG MIX50/50 KWIKPEN (INSULIN LISPRO) INJECTION, SUSPENSION [ELI LILLY AND COMPANY]",insulin,,2-8C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FDA_DailyMed,"NOVOLOG MIX 70/30 (INSULIN ASPART) INJECTION, SUSPENSION [REMEDYREPACK INC.]",insulin,7.3,2-8C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
FDA_DailyMed,"HUMALOG (INSULIN LISPRO) INJECTION, SOLUTION HUMALOG KWIKPEN (INSULIN LISPRO) INJECTION, SOLUTION HUMALOG JUNIOR KWIKPEN (INSULIN LISPRO) INJECTION, SOLUTION HUMALOG TEMPO PEN (INSULIN LISPRO) INJECTION, SOLUTION STERILE DILUENT (DILUENT) INJECTION, SOLUTION HUMALOG TEMPO PEN (INSULIN LISPRO) INJECTION, SOLUTION [ELI LILLY AND COMPANY]",insulin,7.4,2-8C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
FDA_DailyMed,"SEMGLEE (INSULIN GLARGINE-YFGN) INJECTION, SOLUTION [BIOCON BIOLOGICS INC.]",insulin,,2-8C,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
FDA_DailyMed,"LYUMJEV (INSULIN LISPRO-AABC) INJECTION, SOLUTION [A-S MEDICATION SOLUTIONS]",insulin,7.4,2-8C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
FDA_DailyMed,"AWIQLI (INSULIN ICODEC-ABAE) INJECTION, SOLUTION [NOVO NORDISK]",insulin,,2-8C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"INSULIN ASPART PROTAMINE AND INSULIN ASPART MIX 70/30 (INSULIN ASPART) INJECTION, SUSPENSION [REMEDYREPACK INC.]",insulin,7.3,2-8C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
FDA_DailyMed,"DNA PANCREAS FORMULA (LYCOPODIUM CLAVATUM, PANCREAS SUIS, DNA, INSULINUM (HUMAN), PHOSPHORICUM ACIDUM, RADIUM BROMATUM, URANIUM NITRICUM) SPRAY [NUTRITIONAL SPECIALTIES, INC.]",insulin,,frozen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDA_DailyMed,"DNA PANCREAS FORMULA (LYCOPODIUM CLAVATUM, PANCREAS SUIS, DNA, INSULINUM, PHOSPHORICUM ACIDUM, RADIUM BROMATUM, URANIUM NITRICUM) SPRAY [NUTRITIONAL SPECIALTIES, INC.]",insulin,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDA_DailyMed,"INSULIZEN (INSULIN RESISTANCE REDUCER, INSULIN RECEPTOR RESTORE, AND BLOOD SUGAR LEVEL BALANCE) CAPSULE [HCBIOPHARM LLC]",insulin,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDA_DailyMed,ENBREL (ETANERCEPT) KIT ENBREL (ETANERCEPT) SOLUTION [IMMUNEX CORPORATION],etanercept,6.3,2-8C,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
FDA_DailyMed,ENBREL (ETANERCEPT) SOLUTION [A-S MEDICATION SOLUTIONS],etanercept,6.3,2-8C,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
FDA_DailyMed,ENBREL (ETANERCEPT) SOLUTION [A-S MEDICATION SOLUTIONS],etanercept,6.3,2-8C,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
FDA_DailyMed,"KEYTRUDA QLEX (PEMBROLIZUMAB AND BERAHYALURONIDASE ALFA-PMPH) INJECTION, SOLUTION [MERCK SHARP & DOHME LLC]",pembrolizumab,,2-8C,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
FDA_DailyMed,"KEYTRUDA (PEMBROLIZUMAB) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION KEYTRUDA (PEMBROLIZUMAB) INJECTION, SOLUTION [MERCK SHARP & DOHME LLC ]",pembrolizumab,,2-8C,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"OPDIVO (NIVOLUMAB) INJECTION [E.R. SQUIBB & SONS, L.L.C.]",nivolumab,,2-8C,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"OPDIVO QVANTIG (NIVOLUMAB AND HYALURONIDASE-NVHY) INJECTION, SOLUTION [E.R. SQUIBB & SONS, L.L.C.]",nivolumab,,2-8C,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
FDA_DailyMed,"OPDUALAG (NIVOLUMAB AND RELATLIMAB-RMBW) INJECTION [E.R. SQUIBB & SONS, L.L.C.]",nivolumab,,2-8C,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA_DailyMed,"IMFINZI (DURVALUMAB) INJECTION, SOLUTION [ASTRAZENECA PHARMACEUTICALS LP]",durvalumab,,2-8C,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
