source,pmid,title,journal,year,query,mentions_histidine,mentions_citric_acid,mentions_phosphate,mentions_acetate,mentions_succinate,mentions_sucrose,mentions_trehalose,mentions_mannitol,mentions_sorbitol,mentions_polysorbate_80,mentions_polysorbate_20,mentions_poloxamer_188,mentions_arginine,mentions_glycine,mentions_proline,mentions_methionine,mentions_sodium_chloride,mentions_edta,mentions_ascorbic_acid,studies_aggregation,studies_oxidation,studies_deamidation,studies_potency,studies_viscosity,studies_shelf_life,studies_lyophilized,studies_liquid,protein_monoclonal_antibody,protein_bispecific,protein_fusion_protein,protein_insulin,protein_growth_factor,protein_enzyme,protein_vaccine,ph_mentioned,positive_outcome,negative_outcome
PubMed,31811896,"Brij-58, a potential injectable protein-stabilizer used in therapeutic protein formulation.",European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2020,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,1,1
PubMed,31575296,Protein drug delivery: current dosage form profile and formulation strategies.,Journal of drug targeting,2021,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0
PubMed,28401430,Bilateral Effects of Excipients on Protein Stability: Preferential Interaction Type of Excipient and Surface Aromatic Hydrophobicity of Protein.,Pharmaceutical research,2018,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,31900680,In Vivo Stability of Therapeutic Proteins.,Pharmaceutical research,2020,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,1
PubMed,35643368,Simplified choice of suitable excipients within biologics formulation design using protein-protein interaction- and water activity-maps.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2022,protein formulation stability excipient,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1,0
PubMed,28094996,Characterization of Protein-Excipient Microheterogeneity in Biopharmaceutical Solid-State Formulations by Confocal Fluorescence Microscopy.,Molecular pharmaceutics,2017,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1,0
PubMed,39870255,Effect of formulation composition on trastuzumab stability.,International journal of pharmaceutics,2025,protein formulation stability excipient,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1,1
PubMed,40812595,Development of an excipient polarity screening tool for protein formulations via solvatochromism.,Journal of pharmaceutical sciences,2025,protein formulation stability excipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,31465737,Physicochemical Stability of Monoclonal Antibodies: A Review.,Journal of pharmaceutical sciences,2021,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1
PubMed,37909045,IgLM: Infilling language modeling for antibody sequence design.,Cell systems,2023,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,33157211,Monoclonal antibody formulation manufactured by high-speed electrospinning.,International journal of pharmaceutics,2021,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,1,0
PubMed,39179400,Impact of NaCl on Monoclonal Antibody Aggregation Induced by Agitation.,PDA journal of pharmaceutical science and technology,2024,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,30142275,Submicron Aggregation of Chemically Denatured Monoclonal Antibody.,Molecular pharmaceutics,2019,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,31055138,Linking aggregation and interfacial properties in monoclonal antibody-surfactant formulations.,Journal of colloid and interface science,2019,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,37467528,Controlling monoclonal antibody aggregation during cell culture using medium additives facilitated by the monitoring of aggregation in cell culture matrix using size exclusion chromatography.,Journal of pharmaceutical and biomedical analysis,2023,monoclonal antibody formulation aggregation,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,31463609,Analytical Platform for Monitoring Aggregation of Monoclonal Antibody Therapeutics.,Pharmaceutical research,2019,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,37084889,Neutralisation of SARS-CoV-2 by monoclonal antibody through dual targeting powder formulation.,Journal of controlled release : official journal of the Controlled Release Society,2023,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,28593474,High Throughput Prediction Approach for Monoclonal Antibody Aggregation at High Concentration.,Pharmaceutical research,2018,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,19695370,Mechanically-induced aggregation of the monoclonal antibody cetuximab.,Annales pharmaceutiques francaises,2009,monoclonal antibody formulation aggregation,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,35075980,Machine learning prediction of antibody aggregation and viscosity for high concentration formulation development of protein therapeutics.,mAbs,2022,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,35940242,Developability Assessments of Monoclonal Antibody Candidates to Minimize Aggregation During Large-Scale Ultrafiltration and Diafiltration (UF-DF) Processing.,Journal of pharmaceutical sciences,2022,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1
PubMed,21846562,"Aggregation, stability, and formulation of human antibody therapeutics.",Advances in protein chemistry and structural biology,2011,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,31758949,Comparison of Polysorbate 80 Hydrolysis and Oxidation on the Aggregation of a Monoclonal Antibody.,Journal of pharmaceutical sciences,2021,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,31088082,Interaction of a Macrocycle with an Aggregation-Prone Region of a Monoclonal Antibody.,Molecular pharmaceutics,2020,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,36191621,Mechanism of Protein-PDMS Visible Particles Formation in Liquid Vial Monoclonal Antibody Formulation.,Journal of pharmaceutical sciences,2023,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,39515675,Impact of protein aggregation on the immunogenicity of a human monoclonal antibody following pulmonary administration in mice.,International journal of pharmaceutics,2024,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,37967687,Interaction between preservatives and a monoclonal antibody in support of multidose formulation development.,International journal of pharmaceutics,2023,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,38475982,Reduction of monoclonal antibody viscosity using interpretable machine learning.,mAbs,2024,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.2,1,0
PubMed,36690131,Afraid of the wall of death? Considerations on monoclonal antibody characteristics that trigger aggregation during peristaltic pumping.,International journal of pharmaceutics,2023,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1
PubMed,32658605,Rational optimization of a monoclonal antibody improves the aggregation propensity and enhances the CMC properties along the entire pharmaceutical process chain.,mAbs,2021,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,28322916,Prediction and Reduction of the Aggregation of Monoclonal Antibodies.,Journal of molecular biology,2017,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1
PubMed,21480193,Aggregates in monoclonal antibody manufacturing processes.,Biotechnology and bioengineering,2011,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,28939995,The effect of formulation variables on protein stability and integrity of a model IgG4 monoclonal antibody and translation to formulation of a model ScFv.,Biotechnology letters,2018,monoclonal antibody formulation aggregation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,41144649,Pharmacoinformatics in Drug-Excipient Interactions.,Molecular pharmaceutics,2025,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,32965126,Computational Characterization of Antibody-Excipient Interactions for Rational Excipient Selection Using the Site Identification by Ligand Competitive Saturation-Biologics Approach.,Molecular pharmaceutics,2021,biopharmaceutical excipient selection stability,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,36351479,The Storage and In-Use Stability of mRNA Vaccines and Therapeutics: Not A Cold Case.,Journal of pharmaceutical sciences,2023,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1
PubMed,41331990,Not so cold! Improving the thermostability of mRNA vaccines.,Expert review of vaccines,2025,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,1,0
PubMed,39383974,Comparative analysis and mechanistic insights into polysorbate 80 stability differences in biopharmaceutical buffer systems.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2024,biopharmaceutical excipient selection stability,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,33920461,Analytical Techniques for Structural Characterization of Proteins in Solid Pharmaceutical Forms: An Overview.,Pharmaceutics,2021,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1
PubMed,30825554,Excipient selection for thermally stable enveloped and non-enveloped viral vaccine platforms in dry powders.,International journal of pharmaceutics,2019,biopharmaceutical excipient selection stability,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0
PubMed,33745286,Insights into co-amorphous systems in therapeutic drug delivery.,Therapeutic delivery,2021,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,40618981,Hydroxypropyl-&#x3b2;-cyclodextrin inclusion complex improves the percutaneous therapeutic effect of eugenol on psoriasis mice.,European journal of pharmacology,2025,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,37218059,Ranking mAb-excipient interactions in biologics formulations by NMR spectroscopy and computational approaches.,mAbs,2023,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,36308923,NMR spectroscopy as a characterization tool enabling biologics formulation development.,Journal of pharmaceutical and biomedical analysis,2022,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,32415395,The Stabilizing Excipients in Dry State Therapeutic Phage Formulations.,AAPS PharmSciTech,2020,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,1,0
PubMed,16353990,Excipient selection can significantly affect solid-state phase transformation in formulation during wet granulation.,AAPS PharmSciTech,2006,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,40574109,Lipid-Polymer Hybrid Nanoparticles as a Smart Drug Delivery System for Peptide/Protein Delivery.,Pharmaceutics,2025,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1
PubMed,29691812,Excipient selection and aerodynamic characterization of nebulized lipid-based nanoemulsion loaded with docetaxel for lung cancer treatment.,Drug delivery and translational research,2019,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,30930189,Acoustic levitation as a screening method for excipient selection in the development of dry powder vaccines.,International journal of pharmaceutics,2019,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0
PubMed,37285658,Investigation of excipients impact on polysorbate 80 degradation in biopharmaceutical formulation buffers.,Journal of pharmaceutical and biomedical analysis,2023,biopharmaceutical excipient selection stability,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,1,1
PubMed,37856863,Oral Drug Delivery Systems Applied to Launched Products: Value for the Patients and Industrial Considerations.,Molecular pharmaceutics,2023,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,26699228,"Pharmaceutical excipients - quality, regulatory and biopharmaceutical considerations.",European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2017,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,7620565,Moisture content in proteins: its effects and measurement.,Journal of chromatography. A,1995,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,1
PubMed,25492409,Formulation and stability of cytokine therapeutics.,Journal of pharmaceutical sciences,2015,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,1
PubMed,24436033,Miniaturized approach for excipient selection during the development of oral solid dosage form.,Journal of pharmaceutical sciences,2014,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,29863908,Excipients in parenteral formulations: selection considerations and effective utilization with small molecules and biologics.,Drug development and industrial pharmacy,2018,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,33548460,Powder suspensions in non-aqueous vehicles for delivery of therapeutic proteins.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2021,biopharmaceutical excipient selection stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0
PubMed,28522535,ATP as a biological hydrotrope.,"Science (New York, N.Y.)",2018,protein aggregation prevention surfactant,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,33253579,Surfactant Impact on Interfacial Protein Aggregation and Utilization of Surface Tension to Predict Surfactant Requirements for Biological Formulations.,Molecular pharmaceutics,2021,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0
PubMed,17973307,Polysorbates 20 and 80 used in the formulation of protein biotherapeutics: structure and degradation pathways.,Journal of pharmaceutical sciences,2008,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,21440683,Effect of protein-surfactant interactions on aggregation of &#x3b2;-lactoglobulin.,Biochimica et biophysica acta,2011,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,31546020,Epigallocatechin-3-gallate (EGCG) inhibits aggregation of pulmonary fibrosis associated mutant surfactant protein A2 via a proteasomal degradation pathway.,The international journal of biochemistry &amp; cell biology,2020,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,35924267,"Protein PEGylation: Navigating Recombinant Protein Stability, Aggregation, and Bioactivity.",BioMed research international,2022,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,,1,1
PubMed,17544031,Novel thromboresistant materials.,Journal of vascular surgery,2007,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,37094665,Novel Surfactant Compatibility with Downstream Protein Bioprocesses.,Journal of pharmaceutical sciences,2023,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,39722424,Protein aggregation in the frozen state induced by dropping stress.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2025,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,1
PubMed,33054234,Effects of Hydrophobic Tail Length Variation on Surfactant-Mediated Protein Stabilization.,Molecular pharmaceutics,2021,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,40513474,CCR2-targeted nanoparticles combined with sonodynamic therapy attenuates the acute rejection of heart transplants.,Biomaterials,2025,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,35669781,Malondialdehyde Acetaldehyde-Adduction Changes Surfactant Protein D Structure and Function.,Frontiers in immunology,2022,protein aggregation prevention surfactant,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,38043237,Insights into the emulsification mechanism of the surfactant-like protein oleosin.,Journal of colloid and interface science,2024,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
